시즌,에피소드,출연자,직업
1,1,SM Uzzal,외국인 근로자
1,2-1,박종훈,광고 대행사 근무
1,2-2,정재연 & 김성섭,공인중개사 & 직원
1,2-3,최재이,고등학생
1,3-1,박현준,헬스 트레이너
1,3-2,양지훈 & 안혜진,7년 차 커플[4]
1,3-3,박영철,양장점 운영
1,4,이화영,이화여자대학교 학생
1,7-1,한재호,택시기사
1,7-2,정재훈[6],공무원
1,7-3,문보성,회사원
1,7-4,이정혜[9],개인 카페 운영
1,8-1,오재성,고등교사
1,8-2,채우정,대학생
1,8-3,주효성,휴학생
1,8-4,장석균 네 가족,회사원
1,9,홍정우,수입 의류회사 직원
1,10-1,이원경,문방구 운영
1,10-2,문광선,교사
1,11-1,김지혜,대학생
1,11-2,이윤경,주부
1,11-3,김수연,주부
1,12-1,현수용,회사원
1,12-2,강숙자,주부
1,12-3,김현정 & 김건호 부부,"주부, 회사원"
2,13-1,이보미,군무원 준비생
2,13-2,이은우,택배원
2,13-3,심길진,칼국숫집 주인
2,13-4,나한별,케이블 기사
2,14-1,나태복-신덕순 부부,식당 주인[13]
2,14-2,정진서[14],고3
2,15-1,박지영,티켓 부스 근무
2,15-2,유호진,PD
2,16-1,"이상희, 김길자, 박대환, 강애순",마을 어르신들
2,16-2,이상연,선박 정비소
2,17,김호섭,슈퍼마켓 주인
2,18-1,박규빈,건축 설계 사무소 직원
2,18-2,박응경,식당 주인[15]
2,18-3,김세운,갤러리 과장님[16]
2,21-1,김지안,문화단체 기획자[17]
2,21-2,이정성,세운상가 대표(엔지니어)
2,21-3,한대식,청계천 상인
2,22-1,라영훈,물품센터 직원
2,22-2,김영갑,비밀정원 할아버지
2,22-3,김수진,취준생
2,23-1,김동영,경영학과 4학년
2,23-2,정길남,금은방 사장
2,23-3,"유채민, 김민채[19]",초등학교 4학년
2,23-4,장재명[20],열쇠 및 우산 수리공
2,24-1,배용호,빵집 운영
2,24-2,최명재 & 최효희 부녀,"이발소 운영
전직 방송작가 출신 달고나집 운영"
2,24-3,김동주,고3
2,25-1,"황양순, 곽동순, 문현숙",은행 청소부
2,25-2,김나래,취준생
2,25-3,양성식-양시안 부자,금융회사 재직
2,26-1,정일화,공무원
2,26-2,김희영,보험설계사
2,26-3,정광일,컴퓨터 세탁소 운영
2,26-4,조성익,식당 운영(카레)
2,27-1,이장호,용접업
2,27-2,노정주,작가 & 카페 운영
2,27-3,이충규,제조업
2,27-4,이시연,민화 갤러리 운영
2,27-5,최종국,배관 자재 판매업
2,28-1,김태연,카이스트 수학과
2,28-2,최설아 & 이진재 커플,카이스트 전산학부/ 생명과학과
2,28-3,박정훈,카페 주인
2,29,안다희,카페 사장
2,30-1,"홍지안, 전하은 & 전지안 자매[22]",휴학생 및 초등학생
2,30-2,유영수,IT 기업 운영
2,30-3,김성수& 손희정 커플,SCM 사무직[23]
2,31-1,최아인,초등학생
2,31-2,"정글라라, 임진희","각각 요양보호사, 유학생"
2,31-3,이풍요 & 이동요 형제,과일가게 운영
2,31-4,김길수,공항 지상직
2,32-1,강순자,미용실 운영
2,32-2,류근오,자문직 감사[25]
2,33-1,박우곤,공연 기획사 대표
2,33-2,전지희,연극 회사 홍보 • 마케팅 담당
2,33-3,이현지,서울대학교 의과대학 4학년
2,34-1,이송식-이기향 부부,참기름 가게 운영
2,34-2,"송민건, 황윤섭",중학교 2학년
2,35-1,유장용(유영순)[26],하숙집 주인
2,35-2,최원준,한국외국어대학교
2,36-1,조영학,수제화 장인
2,36-2,위성돈,입주민 대표
2,36-3,박성준-김순자 부부[27],이불 공장 운영
2,36-4,조윤호 & 장유정 커플,직장인
2,37-1,조용래,게임업체 직원[28]
2,37-2,"진서이, 송하윤 & 송하영 자매",초등학생
2,38-1,"이상민, 강태석",항공대학교 3학년
2,38-2,서태종-박묘순 부부,양원학교 6학년[29]
2,38-3,김정자,문주란 - 동숙의 노래
2,39-1,국가대표 선수단[30],국가대표 선수[31]
2,39-2,양예빈,육상선수
2,40-1,김지형,마리텔 조연출
2,40-2,나영석,tvN PD
2,41-1,윤연기-이순자 부부,세차장 운영
2,41-2,"정유자, 김부연, 김만순, 전정자, 이혜봉",지역주민
2,41-3,권성기,식빵 전문점 운영
2,41-4,"홍보민, 한정석, 길태후",초등학교 3학년
2,41-5,길흥순,마을주민
2,41-6,김정순-강충구 부부,-
2,42-1,함범녀,문방구 운영
2,42-2,홍동규-홍시율 부자,유치원 교사[32]
2,42-3,정영석,공공근로자
2,42-4,전종안,기적학원장
2,43-1,"이재원, 세나 페케르(배세나)","체육교육과 휴학생, AI 전공"
2,43-2,김기숙-임재윤 모자,주부 & 휴학생
2,44-1,조재동,구두 수선
2,44-2,이민희,안경사
2,44-3,김춘식-주려진 부부,반찬가게 운영
2,44-4,이정숙,사슴농장 운영
2,45-1,박상민,S사 엔지니어링
2,45-2,김범준,고3
2,45-3,"고석교-최연애 부부, 아들 고대영",식당 운영
2,46-1,김동일,취준생
2,46-2,"정만택, 김지희",민박집 운영
2,46-3,현순심,해녀
2,46-4,고병선,-
2,46-5,"권범, 윤석영, 현정호",초등학교 3학년
3,48-1,김지헌,공대생 (전자전기학과 3학년)
3,48-2,최희화,씨름선수
3,48-3,김한슬-김건태 부부,물리치료사
3,49-1,신원호,CJ E&M PD
3,49-2,이명한,CJ 본부장
3,51-1,재재,PD/문명특급 MC
3,51-2,이재영 & 이다영 자매,배구선수
3,51-3,장명숙,패션 디자이너
3,52-1,유성호,서울대학교 의과대학 법의학자
3,52-2,표창원,대한민국 경찰청 범죄분석관
3,53-1,임윤채-한영성 예비부부,의류 디자이너[33]
3,53-2,이봉수,-[34]
3,54-1,장효인,전직 개그우먼이자 보육교사
3,54-2,송미경,서울용산초등학교 교사
3,54-3,이명학,대성마이맥 영어과 수능 인터넷 강사
3,54-4,이명학,성균관대학교 한문교육과 교수
3,56,최석재,응급의학과 전문의
3,58,여주희,(전) 여행이 행복한 사람들[35] CEO
3,59-1,김이중,필경사
3,59-2,이예랑,KBO&MLB 야구 에이전트
3,60-1,김민재,배우
3,60-2,유창종,무주경찰서 교통조사계 경위
3,60-3,고건,서울특별시 지방경찰청 한강경찰대 경위
3,61-1,정종윤-정준호 부자,무대 의상 디자이너
3,61-2,윤문현,길림양행 대표
3,61-3,김진용,인천광역시 진료소 감염내과 전문의
3,62-1,김민경,개그맨
3,62-2,이재율 & 전수희,-
3,62-3,임라라 & 손민수,개그맨 겸 엔조이커플 유튜브 크리에이터
3,63-1,박일환,변호사/크리에이터
3,63-2,천종호,판사
3,63-3,박준영,재심 변호사
3,64-1,주언규,재테크 전문 크리에이터
3,64-2,이종학,한국조폐공사 화폐본부 과장
3,64-3,이용범 & 송정민,서울시청 세금징수과 38기동대 주무관
3,65,정우성,배우
3,66,남형도,체널리스트
3,67-1,박건호,대성마이맥 역사과 인터넷 강사
3,67-2,김동우,다큐멘터리 사진가
3,68,이승훈,뇌졸중 전문의
