,출연자,제목,회차,조회수,좋아요수,댓글수,재생시간(초),구독자수,term,시청률,직업,성별,나이,수상여부,인지도
0,나영석,[선공개] 유퀴즈에 포위된 나영석 PD! 형이 왜 거기서 나와..?,40,881349,6186,224,314,0,1290,2.6,서비스,M,중년,Y,Y
1,이명진,드라마를 위해 조셉과 거래(?) 하는 이명진PD님 | ,40,173,1,1,109,0,1290,2.6,서비스,M,청년,N,N
2,김부연,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,중년,N,N
3,김유자,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,청년,N,N
4,김만순,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,노년,N,N
5,전정자,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,중년,N,N
6,강충구,춘천 술 박사님의 알코올 철학에 팩폭 날리는 여사님 | ,41,285,4,1,181,0,1290,2.7,기타,M,중년,N,N
7,김정순,춘천 술 박사님의 알코올 철학에 팩폭 날리는 여사님 | ,41,285,4,1,181,0,1290,2.7,기타,F,중년,N,N
8,한정석,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,41,156,4,0,248,0,1290,2.7,기타,M,어린이,N,N
9,홍보민,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,41,156,4,0,248,0,1290,2.7,기타,M,어린이,N,N
10,길태후,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,41,156,4,0,248,0,1290,2.7,기타,M,어린이,Y,N
11,길흥순,박사마을에는 1가구 1박사 아닌가요? 아닙니다 (단호) | ,41,91,0,0,177,0,1290,2.7,산업,F,중년,Y,N
12,서담희,큰 자기 찐팬♡ 무한 긍정 자기님 등장! | ,43,190,2,0,430,0,1290,2.4,기타,F,청년,N,N
13,세나,점점 올라가는 큰 자기의 진실의 광대? 이건 썸이다♡ | ,43,113,1,0,216,0,1290,2.4,기타,F,청년,Y,N
14,남숙현,조셉과의 착즙 멜로? 자기님도 모르게 온몸 거부ㅋㅋ | ,43,84,1,0,178,0,1290,2.4,산업,F,청년,N,N
15,김기숙,유퀴즈 코너 속 코너! ＜조씨의 이름을 지어라＞,43,70,2,0,212,0,1290,2.4,기타,F,중년,N,N
16,임재윤,유퀴즈 코너 속 코너! ＜조씨의 이름을 지어라＞,43,70,2,0,212,0,1290,2.4,기타,M,청년,N,N
17,이규형,자기님의 꿈이 되어준 아버지 그리고 행복한 기억 | ,43,50,0,0,180,0,1290,2.4,기타,M,청년,N,N
18,김범준,수능 18시간 전! 이 시점에서(?) 고3의 아찔한 고백...☆ | ,45,297,1,0,222,0,1290,2.5,기타,M,청년,Y,N
19,최연애,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,45,207,2,0,239,0,1290,2.5,서비스,F,중년,N,N
20,고대영,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,45,207,2,0,239,0,1290,2.5,기타,M,청년,Y,N
21,고석교,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,45,207,2,0,239,0,1290,2.5,서비스,M,중년,N,N
22,김현지,쌍둥이 자기님들이 제일 많이 듣는 질문 1위는? | ,45,68,0,0,185,0,1290,2.5,기타,F,청년,N,N
23,김현이,쌍둥이 자기님들이 제일 많이 듣는 질문 1위는? | ,45,68,0,0,185,0,1290,2.5,기타,F,청년,N,N
24,이태석,일을 너무 열심히 하셨던 아버지... 자식들에겐 어떤 아버지였나요? | ,45,58,2,0,432,0,1290,2.5,서비스,M,중년,N,N
