,name,gender,age,episode,episode_date,upload_date,subscriber_count,likes,comments,term,job,topic,rating
0,이충규,M,중년,40.0,20191022.0,20200729.0,0,6186.0,224.0,1290.0,전문기술,That's Life,2.6
1,양경우,W,청년,40.0,20191022.0,20200729.0,0,0.0,0.0,1290.0,기타,That's Life,2.6
2,이명자,W,노인,40.0,20191022.0,20200729.0,0,1.0,1.0,1290.0,기타,That's Life,2.6
3,임재윤,M,청년,40.0,20191022.0,20200902.0,100000,292.0,25.0,1255.0,기타,That's Life,2.6
4,박준형,M,중년,40.0,20191022.0,20200729.0,0,6.0,0.0,1290.0,연예인,That's Life,2.6
5,이시연,W,노인,40.0,20191022.0,20200729.0,0,7.0,1.0,1290.0,기타,That's Life,2.6
6,최연애,W,중년,41.0,20191029.0,20200908.0,120000,165.0,9.0,1249.0,서비스,청춘(靑春),2.7
7,박완용,M,청년,41.0,20191029.0,20200729.0,0,0.0,0.0,1290.0,운동선수,청춘(靑春),2.7
8,박정훈,M,청년,41.0,20191029.0,20200729.0,0,0.0,0.0,1290.0,운동선수,청춘(靑春),2.7
9,김희숙,W,중년,41.0,20191029.0,20200729.0,0,4.0,0.0,1290.0,기타,청춘(靑春),2.7
10,이인봉,M,청년,41.0,20191029.0,20200729.0,0,4.0,0.0,1290.0,기타,청춘(靑春),2.7
11,임서준,M,청년,41.0,20191029.0,20200729.0,0,0.0,0.0,1290.0,운동선수,청춘(靑春),2.7
12,최설아,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,기타,청춘(靑春),2.7
13,김태연,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,연예인,청춘(靑春),2.7
14,배한욱,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,전문기술,청춘(靑春),2.7
15,박지선,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,연예인,청춘(靑春),2.7
16,박지선,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,연예인,청춘(靑春),2.7
17,최종국,M,중년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,서비스,청춘(靑春),2.7
18,김미라,W,중년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,서비스,청춘(靑春),2.7
19,이진재,M,청년,41.0,20191029.0,20200729.0,0,4.0,0.0,1290.0,기타,청춘(靑春),2.7
20,길흥순,W,중년,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,산업,폴라로이드,2.3
21,길태후,M,어린이,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
22,홍보민,M,어린이,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
23,한정석,M,어린이,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
24,김만순,W,노인,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
25,전정자,W,중년,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
26,김유자,W,청년,42.0,20191105.0,20200817.0,60000,7.0,0.0,1271.0,기타,폴라로이드,2.3
27,김부연,W,중년,42.0,20191105.0,20200817.0,60000,68.0,6.0,1271.0,기타,폴라로이드,2.3
28,권성기,M,중년,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,서비스,폴라로이드,2.3
29,강충구,M,중년,42.0,20191105.0,20200817.0,60000,2.0,0.0,1271.0,기타,폴라로이드,2.3
30,이명진,M,청년,42.0,20191105.0,20200817.0,60000,2518.0,161.0,1271.0,서비스,폴라로이드,2.3
31,나영석,M,중년,42.0,20191105.0,20200817.0,60000,2518.0,161.0,1271.0,서비스,폴라로이드,2.3
32,Andy_Kibingwa,M,청년,43.0,20191112.0,20200729.0,0,0.0,0.0,1290.0,기타,Dreams,2.4
33,터키록,M,청년,43.0,20191112.0,20200729.0,0,2.0,0.0,1290.0,전문기술,Dreams,2.4
34,이준희,M,청년,43.0,20191112.0,20200729.0,0,2.0,0.0,1290.0,기타,Dreams,2.4
35,정인화,M,중년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,전문기술,Dreams,2.4
36,김명훈,M,청년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,서비스,Dreams,2.4
37,서경하,M,중년,43.0,20191112.0,20200925.0,160000,700.0,23.0,1232.0,서비스,Dreams,2.4
38,안다희,W,청년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,서비스,Dreams,2.4
39,유재신,M,중년,43.0,20191112.0,20200925.0,160000,700.0,23.0,1232.0,서비스,Dreams,2.4
40,메멧,M,청년,43.0,20191112.0,20200729.0,0,2.0,0.0,1290.0,서비스,Dreams,2.4
41,일마즈,M,청년,43.0,20191112.0,20200729.0,0,4.0,0.0,1290.0,서비스,Dreams,2.4
42,감런벡,M,청소년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,기타,Dreams,2.4
43,박상민,M,청년,44.0,20191119.0,20200908.0,120000,12.0,2.0,1249.0,산업,계절의 끝에서,3.2
44,이정숙,W,중년,44.0,20191119.0,20200908.0,120000,40.0,2.0,1249.0,서비스,계절의 끝에서,3.2
45,김범준,M,청년,44.0,20191119.0,20200908.0,120000,0.0,0.0,1249.0,기타,계절의 끝에서,3.2
46,김민재,M,청년,44.0,20191119.0,20210113.0,502491,1210.0,68.0,1122.0,연예인,계절의 끝에서,3.2
47,김민재,M,청년,44.0,20191119.0,20210113.0,502491,1210.0,68.0,1122.0,운동선수,계절의 끝에서,3.2
48,남진현,W,중년,44.0,20191119.0,20200908.0,120000,191.0,27.0,1249.0,기타,계절의 끝에서,3.2
