,채널명,영상ID,카테고리ID,게시일,제목,설명,출연자_정보,재생시간,조회수,좋아요수,댓글수,재생시간(초),년도
0,유 퀴즈 온 더 튜브,HT9hRtbGdcI,24,2024-02-01 09:58:43+00:00,[예고] 큰 자기의 20년 지기 찐친 김원희 자기님 온다💚 웃겨서 눈물 쏙 빠지는 큰 자기와의 에피소드!#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.230,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

유 퀴즈 온 더 블럭
[수] 저녁 8: 45 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호

#티빙에서스트리밍","['김원희', '유재석', '유퀴즈', '유퀴즈온더블럭', '조세호', '티빙에서스트리밍']",PT2M28S,197726,2090,80,148.0,2024
1,유 퀴즈 온 더 튜브,xLUGFRTa0_I,24,2024-01-25 11:35:01+00:00,연륜만큼 맵고 찰지다는 김영옥 X 나문희 자기님의 입담 ㅋㅋㅋ #highlight#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['CJ100', '김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT17M24S,508075,5183,186,1044.0,2024
2,유 퀴즈 온 더 튜브,1UKcNEdqxqw,24,2024-01-25 11:32:00+00:00,"""경복궁 낙서 아니고 예술인데요?"" 고혈압 오게 하는 문화재 낙서들 #highlight#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229","티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼

경복궁 훼손 딱 대!
낙서로 훼손된 문화재를 원상복구하는 능력자
문화재 보존 과학자 정소영 자기님!

매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['CJ100', '김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT16M42S,187783,1451,157,1002.0,2024
3,유 퀴즈 온 더 튜브,9jDO8lf82tE,24,2024-01-25 11:30:05+00:00,내가 도파민 중독자? 일시적인 쾌감에 속지 마세요 #highlight#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼

묻고 더블로 가다간 중독됩니다!
도박 중독 치료의 권위자 정신 건강 전문 신영철 자기님

매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['CJ100', '김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT18M26S,234968,2939,129,1106.0,2024
4,유 퀴즈 온 더 튜브,1Hjl7uQ0S7Q,24,2024-01-25 11:28:00+00:00,그리운 남편에게 나문희 자기님이 불러주는 '김광석 - 서른 즈음에'#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT10M42S,104647,1705,112,642.0,2024
5,유 퀴즈 온 더 튜브,0oXzyaoAN4c,24,2024-01-25 11:14:00+00:00,"민트 같은 김영옥 자기님의 멘트 ㅋㅋㅋ ""나는 너무 이걸 좋아해서ㅎ""#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송","티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT5M59S,42091,454,13,359.0,2024
6,유 퀴즈 온 더 튜브,MFBpR3zZLL8,24,2024-01-25 11:03:00+00:00,방송국과 배우 대립 | 김영옥 자기님은 오징어 게임 찍을 때 어땠나요?#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT10M56S,23082,262,12,656.0,2024
7,유 퀴즈 온 더 튜브,wcOoGMpxbkY,24,2024-01-25 10:51:00+00:00,(어쩌다 성덕♥) 아니 OST를 임영웅 자기님이 불러줬다니까?!#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT6M29S,10289,155,4,389.0,2024
8,유 퀴즈 온 더 튜브,fj8H1rFGFag,24,2024-01-25 10:33:00+00:00,경복궁 낙서 복원 도중 또 낙서가 생겼다... 범인에게 1억 복원비 청구?!#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT8M18S,11412,98,10,498.0,2024
9,유 퀴즈 온 더 튜브,dmoMPUO4pxU,24,2024-01-25 10:25:00+00:00,"대한민국 국민들을 화나게 했던 경복궁 낙서, 겨울이라 지우기 힘들었다고...#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송","티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT8M24S,8321,104,10,504.0,2024
10,유 퀴즈 온 더 튜브,B7YEBBeK99k,24,2024-01-25 10:09:00+00:00,숏폼 5시간 보는 것은 중독이 아니라고요?! 좀 위험한 중독은 쇼핑?#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT9M24S,19266,215,4,564.0,2024
11,유 퀴즈 온 더 튜브,nbvIODyRSA8,24,2024-01-25 09:59:00+00:00,도박에 중독되는 것이 돈과 무관한 이유#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.229 | tvN 240124 방송,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.229
#파수꾼
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","['김영옥', '나문희', '도박의사', '문화재 보호 과학자', '배우', '신영철', '유재석', '유퀴즈', '유퀴즈온더블럭', '정소영', '조세호', '티빙에서스트리밍']",PT9M2S,8570,134,4,542.0,2024
