,제목,설명,출연자_정보,조회수,좋아요수,댓글수,재생시간(초),년도,회차,출연자,업로드일,구독자수,term
0,[선공개] 유퀴즈에 포위된 나영석 PD! 형이 왜 거기서 나와..?,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '상암동', 'DMC', '방송국', '편집', '갱년기', '핑크뮬리', '하늘공원', '사진', '전영록', '라디오', '안테나', '토끼띠', '지루박', '브루스', '짜장면', '탕수육', '유산슬', '짜사이', '김태호', '김구라', '아마존', '청일전자미쓰리', '직업병', '나영석', '시청률', '플렉스']",881349,6186,224,314,2019,40,나영석,2020-07-29,0,1290
2,방송계의 진실! 김수현 같은 PD는 없지만... 조셉 같은 PD는 많다?! | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '상암동', 'DMC', '방송국', '편집', '갱년기', '핑크뮬리', '하늘공원', '사진', '전영록', '라디오', '안테나', '토끼띠', '지루박', '브루스', '짜장면', '탕수육', '유산슬', '짜사이', '김태호', '김구라', '아마존', '청일전자미쓰리', '직업병', '나영석', '시청률', '플렉스']",437,6,0,134,2019,40,김지형,2020-07-29,0,1290
3,전영록으로 대동단결!! 장갑(?)으로 시작된 추억여행☆ | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '상암동', 'DMC', '방송국', '편집', '갱년기', '핑크뮬리', '하늘공원', '사진', '전영록', '라디오', '안테나', '토끼띠', '지루박', '브루스', '짜장면', '탕수육', '유산슬', '짜사이', '김태호', '김구라', '아마존', '청일전자미쓰리', '직업병', '나영석', '시청률', '플렉스']",266,7,1,129,2019,40,최영은,2020-07-29,0,1290
4,드라마를 위해 조셉과 거래(?) 하는 이명진PD님 | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '상암동', 'DMC', '방송국', '편집', '갱년기', '핑크뮬리', '하늘공원', '사진', '전영록', '라디오', '안테나', '토끼띠', '지루박', '브루스', '짜장면', '탕수육', '유산슬', '짜사이', '김태호', '김구라', '아마존', '청일전자미쓰리', '직업병', '나영석', '시청률', '플렉스']",173,1,1,109,2019,40,이명진,2020-07-29,0,1290
5,"바둑, 장기... 그리고 ㅇㅇㅇ?! 자기님의 은밀한 취미생활??? | ","＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '상암동', 'DMC', '방송국', '편집', '갱년기', '핑크뮬리', '하늘공원', '사진', '전영록', '라디오', '안테나', '토끼띠', '지루박', '브루스', '짜장면', '탕수육', '유산슬', '짜사이', '김태호', '김구라', '아마존', '청일전자미쓰리', '직업병', '나영석', '시청률', '플렉스']",32,0,0,170,2019,40,권수득,2020-07-29,0,1290
7,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_춘천
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",593,4,1,394,2019,41,김부연,2020-07-29,0,1290
8,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_춘천
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",593,4,1,394,2019,41,김유자,2020-07-29,0,1290
9,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_춘천
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",593,4,1,394,2019,41,김만순,2020-07-29,0,1290
10,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_춘천
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",593,4,1,394,2019,41,전정자,2020-07-29,0,1290
11,춘천 술 박사님의 알코올 철학에 팩폭 날리는 여사님 | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",285,4,1,181,2019,41,강충구,2020-07-29,0,1290
